PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
Markieff Morris,WAS,73,37,36,1968,1865,1879,142,16,240,164,7.6,8.8,398
Marquese Chriss,PHX,72,19,53,1527,2104,1418,83,15,194,102,3.9,4.8,292
Marquis Teague,MEM,3,0,3,74,139,149,13,0,17,14,9.4,10.1,30
Marreese Speights,ORL,52,15,37,675,892,888,40,2,68,45,4.5,5,110
Marshall Plumlee,MIL,8,5,3,52,44,35,2,0,6,2,4.5,4.5,8
Marvin Williams,CHA,78,33,45,2006,2801,1906,96,14,191,115,3.4,4.1,301
Mason Plumlee,DEN,74,40,34,1439,1725,1439,142,16,243,158,8.2,9.2,401
Matt Costello,SAS,4,2,2,32,38,23,2,0,4,3,5.3,7.9,6
Matt Williams Jr.,MIA,3,1,2,11,4,10,0,0,0,0,0,0,0
Matthew Dellavedova,MIL,37,21,16,691,1182,1250,143,17,261,168,12.1,14.2,421
Maurice Harkless,POR,59,36,23,1264,1058,878,53,5,123,58,5,5.5,181
Maxi Kleber,DAL,72,20,52,1206,1055,899,51,5,87,60,4.8,5.7,143
Meyers Leonard,POR,33,17,16,254,355,272,17,2,35,20,4.8,5.6,54
Michael Beasley,NYK,73,23,50,1616,2000,1913,119,22,250,147,6,7.4,391
Michael Carter-Williams,CHA,52,23,29,835,1392,1525,116,17,258,140,8.3,10.1,391
Michael Kidd-Gilchrist,CHA,74,34,40,1850,1022,1231,71,8,148,84,6.9,8.2,227
Mike Conley,MEM,12,7,5,373,572,765,49,7,113,59,8.6,10.3,169
Mike James,NOP,36,11,25,686,1200,1468,126,11,258,148,10.5,12.3,395
Mike Muscala,ATL,53,14,39,1060,1258,960,51,7,83,57,4.1,4.5,141
Mike Scott,WAS,76,39,37,1406,1607,1462,80,9,165,96,5,6,254
Miles Plumlee,ATL,55,19,36,918,1050,768,45,5,83,49,4.3,4.7,133
Milos Teodosic,LAC,45,29,16,1134,2189,2162,209,17,397,244,9.5,11.1,623
Milton Doyle,BKN,10,2,8,125,146,171,10,2,26,13,6.8,8.9,38
Mindaugas Kuzminskas,NYK,1,0,1,2,0,2,0,0,0,0,0,0,0
Mirza Teletovic,MIL,9,4,5,142,197,145,9,0,17,9,4.6,4.6,26
Monte Morris,DEN,3,2,1,25,52,53,7,0,13,7,13.5,13.5,20
Montrezl Harrell,LAC,76,39,37,1293,1336,1284,74,9,113,84,5.5,6.3,196
Myke Henry,MEM,20,3,17,378,380,354,22,5,49,29,5.8,7.6,76
Myles Turner,IND,65,39,26,1836,2322,1791,87,8,156,97,3.7,4.2,251
Nate Wolters,UTA,5,3,2,19,30,28,1,0,6,1,3.3,3.3,7
Naz Mitrou-Long,UTA,1,0,1,1,1,2,0,0,0,0,0,0,0
Nemanja Bjelica,MIN,67,38,29,1371,1666,1112,86,12,162,103,5.2,6.2,260
Nene,HOU,52,42,10,758,898,701,45,9,98,57,5,6.3,152
Nerlens Noel,DAL,30,6,24,472,450,304,20,0,37,23,4.4,5.1,57
Nick Collison,OKC,13,9,4,58,100,77,3,0,7,3,3,3,10
Nick Young,GSW,80,56,24,1393,961,1261,36,8,76,44,3.7,4.6,120
Nicolas Batum,CHA,64,27,37,1981,2498,2502,349,32,653,398,14,15.9,1034
Nicolas Brussino,ATL,4,0,4,10,6,5,0,0,2,0,0,0,2
Nigel Hayes,SAC,9,6,3,122,152,107,6,0,11,6,3.9,3.9,17
Nik Stauskas,BKN,41,14,27,523,563,600,39,5,86,45,6.9,8,130
Nikola Jokic,DEN,75,43,32,2443,4975,3908,458,40,703,505,9.2,10.2,1201
Nikola Mirotic,NOP,55,34,21,1494,2227,1581,80,6,148,89,3.6,4,234
Nikola Vucevic,ORL,57,17,40,1683,2691,2424,191,12,331,207,7.1,7.7,534
Noah Vonleh,CHI,54,24,30,876,1313,694,34,5,83,42,2.6,3.2,122
Norman Powell,TOR,70,51,19,1062,956,1179,89,14,185,105,9.3,11,288
OG Anunoby,TOR,74,51,23,1481,892,912,55,12,92,67,6.2,7.5,159
Okaro White,CLE,6,2,4,80,100,52,2,1,7,3,2,3,10
Omari Johnson,MEM,4,1,3,75,86,67,7,0,9,7,8.1,8.1,16
Omer Asik,CHI,18,7,11,182,198,102,3,0,6,2,1.5,1,9
Omri Casspi,GSW,53,40,13,742,985,770,51,6,101,60,5.2,6.1,158
Otto Porter Jr.,WAS,77,42,35,2432,2603,2274,157,28,305,191,6,7.3,490
PJ Dozier,OKC,2,1,1,3,2,3,0,0,0,0,0,0,0
PJ Tucker,HOU,82,65,17,2281,2062,1261,77,14,194,97,3.7,4.7,285
Pascal Siakam,TOR,81,59,22,1679,2405,1781,159,16,253,175,6.6,7.3,428
Pat Connaughton,POR,82,49,33,1488,1275,1348,91,11,172,107,7.1,8.4,274
Patrick Beverley,LAC,11,5,6,334,528,573,32,11,78,46,6.1,8.7,121
Patrick McCaw,GSW,57,41,16,961,1173,1205,81,14,148,99,6.9,8.4,243
Patrick Patterson,OKC,80,48,32,1225,1341,923,55,2,128,58,4.1,4.3,185
Patty Mills,SAS,82,47,35,2107,2930,3452,229,57,451,288,7.8,9.8,737
Pau Gasol,SAS,77,45,32,1812,3182,2465,238,15,385,264,7.5,8.3,638
Paul George,OKC,78,47,31,2854,2557,3214,259,34,508,316,10.1,12.4,801
Paul Millsap,DEN,38,22,16,1143,1234,1251,105,9,168,115,8.5,9.3,282
