,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PID
239,Overall,2017-18,27,11,16,0.407,19.8,94.1,101.1,-7.0,0.053,0.67,9.0,0.033,0.16,0.099,13.4,0.434,0.465,0.155,100.1,0.071,55,145,2.0,5.4,0.379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628371
240,Overall,2017-18,62,18,44,0.29,16.5,99.1,104.6,-5.5,0.084,1.9,17.5,0.038,0.113,0.075,9.2,0.447,0.48,0.117,98.35,0.053,93,218,1.5,3.5,0.427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628411
241,Overall,2017-18,62,26,36,0.419,25.0,106.7,108.2,-1.5,0.302,3.03,37.1,0.016,0.12,0.069,12.2,0.455,0.489,0.167,99.19,0.089,189,443,3.0,7.1,0.427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,101127
242,Overall,2017-18,1,0,1,0.0,34.5,88.9,104.1,-15.2,0.053,1.0,8.4,0.059,0.037,0.049,8.4,0.389,0.405,0.152,92.3,-0.01,3,9,3.0,9.0,0.333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628935
243,Overall,2017-18,15,12,3,0.8,5.3,90.6,109.0,-18.3,0.188,0.9,23.8,0.062,0.103,0.081,26.4,0.417,0.424,0.162,97.83,0.037,7,18,0.5,1.2,0.389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627743
244,Overall,2017-18,77,19,58,0.247,25.4,98.4,110.3,-12.0,0.105,0.82,9.0,0.05,0.139,0.093,11.1,0.448,0.48,0.259,103.4,0.072,389,932,5.1,12.1,0.417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628367
245,Overall,2017-18,68,21,47,0.309,22.2,100.5,108.7,-8.2,0.071,1.85,13.5,0.019,0.122,0.069,7.3,0.51,0.521,0.142,97.79,0.064,185,419,2.7,6.2,0.442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628382
246,Overall,2017-18,45,27,18,0.6,26.7,106.1,105.9,0.2,0.331,2.4,24.5,0.026,0.093,0.058,10.2,0.471,0.516,0.27,97.61,0.108,246,577,5.5,12.8,0.426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,202704
247,Overall,2017-18,82,50,32,0.61,36.9,112.7,110.9,1.7,0.432,2.15,25.7,0.037,0.225,0.133,11.9,0.59,0.621,0.316,100.1,0.191,857,1580,10.5,19.3,0.542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2544
248,Overall,2017-18,36,11,25,0.306,19.1,104.4,107.0,-2.7,0.279,2.57,23.6,0.019,0.119,0.067,9.2,0.424,0.469,0.244,104.93,0.1,123,321,3.4,8.9,0.383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628455
