,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
254,0021800127,366,1,80,3,8:23 PM,9:43,Bogdanovic 19' Step Back Jump Shot (7 PTS) (Collison 3 AST),,,51 - 51,TIE,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
259,0021800127,372,2,1,3,8:23 PM,9:04,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
277,0021800127,395,1,1,3,8:26 PM,7:01,Bogdanovic 28' 3PT Jump Shot (10 PTS) (Young 5 AST),,,55 - 58,3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,201152,Thaddeus Young,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
290,0021800127,417,1,79,3,8:31 PM,5:40,Bogdanovic 7' Pullup Jump Shot (12 PTS),,,57 - 60,3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
428,0021800127,611,1,1,4,9:10 PM,1:53,Bogdanovic 25' 3PT Jump Shot (16 PTS) (Sabonis 5 AST),,,94 - 95,1,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1627734,Domantas Sabonis,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
52,0021800141,79,1,79,1,7:27 PM,5:40,Bogdanovic 27' 3PT Pullup Jump Shot (5 PTS),,,21 - 16,-5,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
202,0021800141,290,2,1,2,8:01 PM,1:07,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
257,0021800141,364,2,79,3,8:31 PM,5:48,MISS Bogdanovic 29' 3PT Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
395,0021800141,558,2,1,4,9:10 PM,2:08,MISS Bogdanovic 24' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
126,0021800157,183,2,80,2,8:47 PM,10:40,MISS Bogdanovic 9' Step Back Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
141,0021800157,201,1,1,2,8:50 PM,8:43,Bogdanovic  3PT Jump Shot (3 PTS) (Sabonis 2 AST),,,33 - 30,-3,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,1627734,Domantas Sabonis,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
199,0021800157,286,2,1,2,9:02 PM,2:45,MISS Bogdanovic 24' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
242,0021800157,349,2,1,3,9:29 PM,11:02,MISS Bogdanovic 29' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
364,0021800157,525,1,2,4,10:07 PM,10:13,Bogdanovic 9' Running Jump Shot (7 PTS),,,84 - 75,-9,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
401,0021800157,585,2,79,4,10:18 PM,6:28,MISS Bogdanovic 13' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
419,0021800157,610,1,1,4,10:20 PM,5:10,Bogdanovic  3PT Jump Shot (10 PTS) (Oladipo 5 AST),,,94 - 80,-14,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
429,0021800157,626,2,1,4,10:25 PM,3:47,MISS Bogdanovic 26' 3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
440,0021800157,640,1,1,4,10:27 PM,2:05,Bogdanovic 25' 3PT Jump Shot (13 PTS) (Joseph 4 AST),,,98 - 90,-8,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,4,202709,Cory Joseph,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
19,0021800170,30,2,1,1,8:17 PM,9:45,,,MISS Bogdanovic 23' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
37,0021800170,54,1,79,1,8:21 PM,7:52,,,Bogdanovic 15' Pullup Jump Shot (2 PTS),4 - 3,-1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
58,0021800170,82,1,1,1,8:27 PM,5:54,,,Bogdanovic 25' 3PT Jump Shot (7 PTS) (Collison 1 AST),11 - 8,-3,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
268,0021800170,405,2,1,3,9:40 PM,9:06,,,MISS Bogdanovic 24' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
279,0021800170,421,1,80,3,9:42 PM,7:35,,,Bogdanovic 15' Step Back Jump Shot (10 PTS),63 - 64,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
309,0021800170,459,1,1,3,9:48 PM,5:21,,,Bogdanovic 26' 3PT Jump Shot (13 PTS) (Oladipo 5 AST),68 - 69,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
468,0021800170,687,1,1,4,10:37 PM,0:56,,,Bogdanovic 25' 3PT Jump Shot (16 PTS) (Oladipo 10 AST),103 - 102,-1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
53,0021800185,91,1,1,1,7:25 PM,5:30,,,Bogdanovic 27' 3PT Jump Shot (3 PTS) (Oladipo 2 AST),16 - 17,1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
100,0021800185,157,1,1,1,7:36 PM,1:43,,,Bogdanovic 26' 3PT Jump Shot (8 PTS) (Sabonis 1 AST),26 - 26,TIE,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,1627734,Domantas Sabonis,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
